Authors,Total_Contacts,Reference_Genome,Cis_Contacts,Cis Percent,Cis/Total,Trans percent,Trans contacts,Cis/Trans
Luo et al 2022,735132,hg19,628538,,0.855,,,
Luo et al 2022,1013780,hg19,866782,,0.855,,,
Luo et al 2022,1689701,hg19,1444694,,0.855,,,
Luo et al 2022,1327792,hg19,1135262,,0.855,,,
Luo et al 2022,611329,hg19,522686,,0.855,,,
Luo et al 2022,1024194,hg19,875686,,0.855,,,
Luo et al 2022,1104083,hg19,943991,,0.855,,,
Luo et al 2022,1073948,hg19,918226,,0.855,,,
Luo et al 2022,1159685,hg19,991531,,0.855,,,
Luo et al 2022,895599,hg19,765737,,0.855,,,
Luo et al 2022,989477,hg19,846003,,0.855,,,
Luo et al 2022,1048528,hg19,896491,,0.855,,,
Luo et al 2022,1420268,hg19,1214329,,0.855,,,
Luo et al 2022,542665,hg19,463979,,0.855,,,
Luo et al 2022,707744,hg19,605121,,0.855,,,
Luo et al 2022,1147747,hg19,981324,,0.855,,,
Luo et al 2022,951239,hg19,813309,,0.855,,,
Luo et al 2022,875411,hg19,748476,,0.855,,,
Luo et al 2022,1943136,hg19,1661381,,0.855,,,
Luo et al 2022,1638696,hg19,1401085,,0.855,,,
Luo et al 2022,1794565,hg19,1534353,,0.855,,,
Luo et al 2022,1518590,hg19,1298394,,0.855,,,
Luo et al 2022,570200,hg19,487521,,0.855,,,
Luo et al 2022,1206537,hg19,1031589,,0.855,,,
Luo et al 2022,1737608,hg19,1485655,,0.855,,,
Luo et al 2022,1594476,hg19,1363277,,0.855,,,
Luo et al 2022,1328273,hg19,1135673,,0.855,,,
Luo et al 2022,1367867,hg19,1169526,,0.855,,,
Luo et al 2022,1092621,hg19,934191,,0.855,,,
Luo et al 2022,1429015,hg19,1221808,,0.855,,,
Luo et al 2022,1448808,hg19,1238731,,0.855,,,
Luo et al 2022,1518735,hg19,1298518,,0.855,,,
Luo et al 2022,1822282,hg19,1558051,,0.855,,,
Luo et al 2022,623997,hg19,533517,,0.855,,,
Luo et al 2022,2615796,hg19,2236506,,0.855,,,
Luo et al 2022,2127885,hg19,1819342,,0.855,,,
Luo et al 2022,1810546,hg19,1548017,,0.855,,,
Luo et al 2022,1914269,hg19,1636700,,0.855,,,
Luo et al 2022,1197116,hg19,1023534,,0.855,,,
Luo et al 2022,2046369,hg19,1749645,,0.855,,,
Luo et al 2022,1932283,hg19,1652102,,0.855,,,
Luo et al 2022,1924430,hg19,1645388,,0.855,,,
Luo et al 2022,1981312,hg19,1694022,,0.855,,,
Luo et al 2022,1638090,hg19,1400567,,0.855,,,
Luo et al 2022,1241863,hg19,1061793,,0.855,,,
Luo et al 2022,1638271,hg19,1400722,,0.855,,,
Luo et al 2022,2100277,hg19,1795737,,0.855,,,
Luo et al 2022,1276111,hg19,1089799,,0.854,,,
Luo et al 2022,1514887,hg19,1293713,,0.854,,,
Luo et al 2022,1816703,hg19,1551464,,0.854,,,
Luo et al 2022,1555118,hg19,1328071,,0.854,,,
Luo et al 2022,1080500,hg19,922747,,0.854,,,
Luo et al 2022,933679,hg19,797362,,0.854,,,
Luo et al 2022,1426675,hg19,1218380,,0.854,,,
Luo et al 2022,400813,hg19,342294,,0.854,,,
Luo et al 2022,1090518,hg19,931302,,0.854,,,
Luo et al 2022,1208761,hg19,1032282,,0.854,,,
Luo et al 2022,1729906,hg19,1477340,,0.854,,,
Luo et al 2022,336554,hg19,287417,,0.854,,,
Luo et al 2022,524110,hg19,447590,,0.854,,,
Luo et al 2022,1016023,hg19,867684,,0.854,,,
Luo et al 2022,576150,hg19,492032,,0.854,,,
Luo et al 2022,1284470,hg19,1096937,,0.854,,,
Luo et al 2022,1003820,hg19,857262,,0.854,,,
Luo et al 2022,897634,hg19,766579,,0.854,,,
Luo et al 2022,686556,hg19,586319,,0.854,,,
Luo et al 2022,892034,hg19,761797,,0.854,,,
Luo et al 2022,1121009,hg19,957342,,0.854,,,
Luo et al 2022,444075,hg19,379240,,0.854,,,
Luo et al 2022,1142472,hg19,975671,,0.854,,,
Luo et al 2022,901572,hg19,769942,,0.854,,,
Luo et al 2022,672371,hg19,574205,,0.854,,,
Luo et al 2022,1340604,hg19,1144876,,0.854,,,
Luo et al 2022,1530296,hg19,1306873,,0.854,,,
Luo et al 2022,855967,hg19,730996,,0.854,,,
Luo et al 2022,1438369,hg19,1228367,,0.854,,,
Luo et al 2022,590943,hg19,504665,,0.854,,,
Luo et al 2022,1609192,hg19,1374250,,0.854,,,
Luo et al 2022,1804132,hg19,1540729,,0.854,,,
Luo et al 2022,444474,hg19,379581,,0.854,,,
Luo et al 2022,370926,hg19,316771,,0.854,,,
Luo et al 2022,373448,hg19,318925,,0.854,,,
Luo et al 2022,1795276,hg19,1533166,,0.854,,,
Luo et al 2022,885912,hg19,756569,,0.854,,,
Luo et al 2022,1421704,hg19,1214135,,0.854,,,
Luo et al 2022,1921601,hg19,1641047,,0.854,,,
Luo et al 2022,1610959,hg19,1375759,,0.854,,,
Luo et al 2022,1148959,hg19,981211,,0.854,,,
Luo et al 2022,1639529,hg19,1400158,,0.854,,,
Luo et al 2022,1988923,hg19,1698540,,0.854,,,
Luo et al 2022,1788810,hg19,1527644,,0.854,,,
Luo et al 2022,1119389,hg19,955958,,0.854,,,
Luo et al 2022,799000,hg19,682346,,0.854,,,
Luo et al 2022,1942904,hg19,1659240,,0.854,,,
Luo et al 2022,2384952,hg19,2036749,,0.854,,,
Luo et al 2022,1708296,hg19,1458885,,0.854,,,
Luo et al 2022,1521333,hg19,1299218,,0.854,,,
Luo et al 2022,1911117,hg19,1632094,,0.854,,,
Luo et al 2022,2235003,hg19,1908693,,0.854,,,
Luo et al 2022,1167349,hg19,995749,,0.853,,,
Luo et al 2022,1500659,hg19,1280062,,0.853,,,
Luo et al 2022,1419510,hg19,1210842,,0.853,,,
Luo et al 2022,755788,hg19,644687,,0.853,,,
Luo et al 2022,980696,hg19,836534,,0.853,,,
Luo et al 2022,1758465,hg19,1499971,,0.853,,,
Luo et al 2022,765335,hg19,652831,,0.853,,,
Luo et al 2022,775383,hg19,661402,,0.853,,,
Luo et al 2022,1098586,hg19,937094,,0.853,,,
Luo et al 2022,687324,hg19,586287,,0.853,,,
Luo et al 2022,1172386,hg19,1000045,,0.853,,,
Luo et al 2022,855708,hg19,729919,,0.853,,,
Luo et al 2022,1190721,hg19,1015685,,0.853,,,
Luo et al 2022,1411725,hg19,1204201,,0.853,,,
Luo et al 2022,1174268,hg19,1001651,,0.853,,,
Luo et al 2022,1132743,hg19,966230,,0.853,,,
Luo et al 2022,1373811,hg19,1171861,,0.853,,,
Luo et al 2022,940064,hg19,801875,,0.853,,,
Luo et al 2022,1532008,hg19,1306803,,0.853,,,
Luo et al 2022,877083,hg19,748152,,0.853,,,
Luo et al 2022,1768177,hg19,1508255,,0.853,,,
Luo et al 2022,1515898,hg19,1293061,,0.853,,,
Luo et al 2022,1893774,hg19,1615389,,0.853,,,
Luo et al 2022,1575930,hg19,1344268,,0.853,,,
Luo et al 2022,1527269,hg19,1302760,,0.853,,,
Luo et al 2022,2113075,hg19,1802453,,0.853,,,
Luo et al 2022,1539599,hg19,1313278,,0.853,,,
Luo et al 2022,2072567,hg19,1767900,,0.853,,,
Luo et al 2022,1552720,hg19,1324470,,0.853,,,
Luo et al 2022,485065,hg19,413760,,0.853,,,
Luo et al 2022,391247,hg19,333734,,0.853,,,
Luo et al 2022,1439928,hg19,1228259,,0.853,,,
Luo et al 2022,1214167,hg19,1035684,,0.853,,,
Luo et al 2022,923732,hg19,787943,,0.853,,,
Luo et al 2022,1255249,hg19,1070727,,0.853,,,
Luo et al 2022,1586582,hg19,1353354,,0.853,,,
Luo et al 2022,469562,hg19,400536,,0.853,,,
Luo et al 2022,1115188,hg19,951255,,0.853,,,
Luo et al 2022,1787151,hg19,1524440,,0.853,,,
Luo et al 2022,1180053,hg19,1006585,,0.853,,,
Luo et al 2022,1831230,hg19,1562039,,0.853,,,
Luo et al 2022,2168087,hg19,1849378,,0.853,,,
Luo et al 2022,1357218,hg19,1157707,,0.853,,,
Luo et al 2022,1588524,hg19,1355011,,0.853,,,
Luo et al 2022,2020134,hg19,1723174,,0.853,,,
Luo et al 2022,1799366,hg19,1534859,,0.853,,,
Luo et al 2022,2239929,hg19,1910659,,0.853,,,
Luo et al 2022,1707298,hg19,1456325,,0.853,,,
Luo et al 2022,1915173,hg19,1633643,,0.853,,,
Luo et al 2022,1718162,hg19,1465592,,0.853,,,
Luo et al 2022,1645294,hg19,1403436,,0.853,,,
Luo et al 2022,1795048,hg19,1531176,,0.853,,,
Luo et al 2022,1868481,hg19,1593814,,0.853,,,
Luo et al 2022,1417754,hg19,1209344,,0.853,,,
Luo et al 2022,1387029,hg19,1181749,,0.852,,,
Luo et al 2022,1819100,hg19,1549873,,0.852,,,
Luo et al 2022,1674768,hg19,1426902,,0.852,,,
Luo et al 2022,1590257,hg19,1354899,,0.852,,,
Luo et al 2022,1326470,hg19,1130152,,0.852,,,
Luo et al 2022,1676187,hg19,1428111,,0.852,,,
Luo et al 2022,1498954,hg19,1277109,,0.852,,,
Luo et al 2022,1323585,hg19,1127694,,0.852,,,
Luo et al 2022,2884150,hg19,2457296,,0.852,,,
Luo et al 2022,2057966,hg19,1753387,,0.852,,,
Luo et al 2022,927512,hg19,790240,,0.852,,,
Luo et al 2022,1233689,hg19,1051103,,0.852,,,
Luo et al 2022,662487,hg19,564439,,0.852,,,
Luo et al 2022,1106409,hg19,942660,,0.852,,,
Luo et al 2022,802056,hg19,683352,,0.852,,,
Luo et al 2022,1594995,hg19,1358936,,0.852,,,
Luo et al 2022,266796,hg19,227310,,0.852,,,
Luo et al 2022,1156148,hg19,985038,,0.852,,,
Luo et al 2022,947470,hg19,807244,,0.852,,,
Luo et al 2022,1142352,hg19,973284,,0.852,,,
Luo et al 2022,1077667,hg19,918172,,0.852,,,
Luo et al 2022,912462,hg19,777418,,0.852,,,
Luo et al 2022,1088013,hg19,926987,,0.852,,,
Luo et al 2022,987337,hg19,841211,,0.852,,,
Luo et al 2022,1305996,hg19,1112709,,0.852,,,
Luo et al 2022,1289874,hg19,1098973,,0.852,,,
Luo et al 2022,562613,hg19,479346,,0.852,,,
Luo et al 2022,894303,hg19,761946,,0.852,,,
Luo et al 2022,1913051,hg19,1629919,,0.852,,,
Luo et al 2022,860984,hg19,733558,,0.852,,,
Luo et al 2022,591194,hg19,503697,,0.852,,,
Luo et al 2022,2005249,hg19,1708472,,0.852,,,
Luo et al 2022,448761,hg19,382344,,0.852,,,
Luo et al 2022,1301215,hg19,1108635,,0.852,,,
Luo et al 2022,1571841,hg19,1339209,,0.852,,,
Luo et al 2022,1521080,hg19,1295960,,0.852,,,
Luo et al 2022,1920091,hg19,1635918,,0.852,,,
Luo et al 2022,2168484,hg19,1847548,,0.852,,,
Luo et al 2022,1364001,hg19,1162129,,0.852,,,
Luo et al 2022,1436023,hg19,1223492,,0.852,,,
Luo et al 2022,1755997,hg19,1496109,,0.852,,,
Luo et al 2022,2352211,hg19,2004084,,0.852,,,
Luo et al 2022,991674,hg19,844906,,0.852,,,
Luo et al 2022,1518489,hg19,1293753,,0.852,,,
Luo et al 2022,830993,hg19,708006,,0.852,,,
Luo et al 2022,2080393,hg19,1772495,,0.852,,,
Luo et al 2022,2433141,hg19,2073036,,0.852,,,
Luo et al 2022,1553539,hg19,1323615,,0.852,,,
Luo et al 2022,1664298,hg19,1417982,,0.852,,,
Luo et al 2022,2431728,hg19,2071832,,0.852,,,
Luo et al 2022,1996065,hg19,1700647,,0.852,,,
Luo et al 2022,2120532,hg19,1806693,,0.852,,,
Luo et al 2022,1112595,hg19,946818,,0.851,,,
Luo et al 2022,1117366,hg19,950878,,0.851,,,
Luo et al 2022,1587238,hg19,1350740,,0.851,,,
Luo et al 2022,1824811,hg19,1552914,,0.851,,,
Luo et al 2022,1385947,hg19,1179441,,0.851,,,
Luo et al 2022,531237,hg19,452083,,0.851,,,
Luo et al 2022,305284,hg19,259797,,0.851,,,
Luo et al 2022,1487034,hg19,1265466,,0.851,,,
Luo et al 2022,1795586,hg19,1528044,,0.851,,,
Luo et al 2022,1106954,hg19,942018,,0.851,,,
Luo et al 2022,1126614,hg19,958749,,0.851,,,
Luo et al 2022,874392,hg19,744108,,0.851,,,
Luo et al 2022,898365,hg19,764509,,0.851,,,
Luo et al 2022,293128,hg19,249452,,0.851,,,
Luo et al 2022,1071903,hg19,912189,,0.851,,,
Luo et al 2022,1139531,hg19,969741,,0.851,,,
Luo et al 2022,1110991,hg19,945453,,0.851,,,
Luo et al 2022,979406,hg19,833475,,0.851,,,
Luo et al 2022,879777,hg19,748690,,0.851,,,
Luo et al 2022,1058079,hg19,900425,,0.851,,,
Luo et al 2022,1122487,hg19,955236,,0.851,,,
Luo et al 2022,1389767,hg19,1182692,,0.851,,,
Luo et al 2022,1118958,hg19,952233,,0.851,,,
Luo et al 2022,1658953,hg19,1411769,,0.851,,,
Luo et al 2022,1662624,hg19,1414893,,0.851,,,
Luo et al 2022,2091551,hg19,1779910,,0.851,,,
Luo et al 2022,1207085,hg19,1027229,,0.851,,,
Luo et al 2022,1198343,hg19,1019790,,0.851,,,
Luo et al 2022,1722019,hg19,1465438,,0.851,,,
Luo et al 2022,412915,hg19,351391,,0.851,,,
Luo et al 2022,1192337,hg19,1014679,,0.851,,,
Luo et al 2022,596369,hg19,507510,,0.851,,,
Luo et al 2022,1354865,hg19,1152990,,0.851,,,
Luo et al 2022,1855275,hg19,1578839,,0.851,,,
Luo et al 2022,2024988,hg19,1723265,,0.851,,,
Luo et al 2022,260024,hg19,221280,,0.851,,,
Luo et al 2022,1321050,hg19,1124214,,0.851,,,
Luo et al 2022,2355268,hg19,2004333,,0.851,,,
Luo et al 2022,2089818,hg19,1778435,,0.851,,,
Luo et al 2022,1470726,hg19,1251588,,0.851,,,
Luo et al 2022,923736,hg19,786099,,0.851,,,
Luo et al 2022,1892318,hg19,1608470,,0.85,,,
Luo et al 2022,1163899,hg19,989314,,0.85,,,
Luo et al 2022,1404209,hg19,1193578,,0.85,,,
Luo et al 2022,1867553,hg19,1587420,,0.85,,,
Luo et al 2022,795099,hg19,675834,,0.85,,,
Luo et al 2022,1130919,hg19,961281,,0.85,,,
Luo et al 2022,1109664,hg19,943214,,0.85,,,
Luo et al 2022,1070530,hg19,909951,,0.85,,,
Luo et al 2022,1818817,hg19,1545994,,0.85,,,
Luo et al 2022,485395,hg19,412586,,0.85,,,
Luo et al 2022,975585,hg19,829247,,0.85,,,
Luo et al 2022,1112548,hg19,945666,,0.85,,,
Luo et al 2022,720293,hg19,612249,,0.85,,,
Luo et al 2022,1432279,hg19,1217437,,0.85,,,
Luo et al 2022,805287,hg19,684494,,0.85,,,
Luo et al 2022,1190456,hg19,1011888,,0.85,,,
Luo et al 2022,1405534,hg19,1194704,,0.85,,,
Luo et al 2022,1133744,hg19,963682,,0.85,,,
Luo et al 2022,1493629,hg19,1269585,,0.85,,,
Luo et al 2022,1035187,hg19,879909,,0.85,,,
Luo et al 2022,869231,hg19,738846,,0.85,,,
Luo et al 2022,254280,hg19,216138,,0.85,,,
Luo et al 2022,1540471,hg19,1309400,,0.85,,,
Luo et al 2022,1081361,hg19,919157,,0.85,,,
Luo et al 2022,2353723,hg19,2000665,,0.85,,,
Luo et al 2022,2419053,hg19,2056195,,0.85,,,
Luo et al 2022,1468369,hg19,1248114,,0.85,,,
Luo et al 2022,1526504,hg19,1297528,,0.85,,,
Luo et al 2022,1623226,hg19,1379742,,0.85,,,
Luo et al 2022,1394783,hg19,1185566,,0.85,,,
Luo et al 2022,1650290,hg19,1402747,,0.85,,,
Luo et al 2022,1781957,hg19,1514663,,0.85,,,
Luo et al 2022,1318803,hg19,1120983,,0.85,,,
Luo et al 2022,801320,hg19,681122,,0.85,,,
Luo et al 2022,302481,hg19,257109,,0.85,,,
Luo et al 2022,1448158,hg19,1230934,,0.85,,,
Luo et al 2022,1651255,hg19,1403567,,0.85,,,
Luo et al 2022,1192236,hg19,1013401,,0.85,,,
Luo et al 2022,1854237,hg19,1576101,,0.85,,,
Luo et al 2022,1261311,hg19,1072114,,0.85,,,
Luo et al 2022,1132764,hg19,962849,,0.85,,,
Luo et al 2022,1587227,hg19,1349143,,0.85,,,
Luo et al 2022,1344220,hg19,1141243,,0.849,,,
Luo et al 2022,1033713,hg19,877622,,0.849,,,
Luo et al 2022,714374,hg19,606504,,0.849,,,
Luo et al 2022,2054787,hg19,1744514,,0.849,,,
Luo et al 2022,557169,hg19,473036,,0.849,,,
Luo et al 2022,1586438,hg19,1346886,,0.849,,,
Luo et al 2022,711053,hg19,603684,,0.849,,,
Luo et al 2022,1223737,hg19,1038953,,0.849,,,
Luo et al 2022,1060749,hg19,900576,,0.849,,,
Luo et al 2022,1337935,hg19,1135907,,0.849,,,
Luo et al 2022,755111,hg19,641089,,0.849,,,
Luo et al 2022,719503,hg19,610858,,0.849,,,
Luo et al 2022,1317040,hg19,1118167,,0.849,,,
Luo et al 2022,1115467,hg19,947031,,0.849,,,
Luo et al 2022,1574334,hg19,1336610,,0.849,,,
Luo et al 2022,278748,hg19,236657,,0.849,,,
Luo et al 2022,628907,hg19,533942,,0.849,,,
Luo et al 2022,1795626,hg19,1524486,,0.849,,,
Luo et al 2022,1350727,hg19,1146767,,0.849,,,
Luo et al 2022,1704500,hg19,1447121,,0.849,,,
Luo et al 2022,1897053,hg19,1610598,,0.849,,,
Luo et al 2022,1397367,hg19,1186365,,0.849,,,
Luo et al 2022,1351727,hg19,1147616,,0.849,,,
Luo et al 2022,1405439,hg19,1193218,,0.849,,,
Luo et al 2022,1199616,hg19,1018474,,0.849,,,
Luo et al 2022,1616100,hg19,1372069,,0.849,,,
Luo et al 2022,1652777,hg19,1403208,,0.849,,,
Luo et al 2022,1878422,hg19,1594780,,0.849,,,
Luo et al 2022,1442675,hg19,1224831,,0.849,,,
Luo et al 2022,1436638,hg19,1219706,,0.849,,,
Luo et al 2022,1981883,hg19,1682619,,0.849,,,
Luo et al 2022,1787610,hg19,1517681,,0.849,,,
Luo et al 2022,1362065,hg19,1156393,,0.849,,,
Luo et al 2022,1862059,hg19,1580888,,0.849,,,
Luo et al 2022,1906939,hg19,1618991,,0.849,,,
Luo et al 2022,640962,hg19,544177,,0.849,,,
Luo et al 2022,1882765,hg19,1598467,,0.849,,,
Luo et al 2022,1638328,hg19,1390940,,0.849,,,
Luo et al 2022,1302338,hg19,1105685,,0.849,,,
Luo et al 2022,1932907,hg19,1641038,,0.849,,,
Luo et al 2022,543395,hg19,461342,,0.849,,,
Luo et al 2022,2232093,hg19,1895047,,0.849,,,
Luo et al 2022,1740983,hg19,1476354,,0.848,,,
Luo et al 2022,1672835,hg19,1418564,,0.848,,,
Luo et al 2022,1719721,hg19,1458323,,0.848,,,
Luo et al 2022,876115,hg19,742946,,0.848,,,
Luo et al 2022,895309,hg19,759222,,0.848,,,
Luo et al 2022,962015,hg19,815789,,0.848,,,
Luo et al 2022,589925,hg19,500256,,0.848,,,
Luo et al 2022,573893,hg19,486661,,0.848,,,
Luo et al 2022,1147857,hg19,973383,,0.848,,,
Luo et al 2022,917983,hg19,778450,,0.848,,,
Luo et al 2022,1112017,hg19,942990,,0.848,,,
Luo et al 2022,1003991,hg19,851384,,0.848,,,
Luo et al 2022,1290310,hg19,1094183,,0.848,,,
Luo et al 2022,1291562,hg19,1095245,,0.848,,,
Luo et al 2022,1381395,hg19,1171423,,0.848,,,
Luo et al 2022,1714950,hg19,1454278,,0.848,,,
Luo et al 2022,1204264,hg19,1021216,,0.848,,,
Luo et al 2022,1190609,hg19,1009636,,0.848,,,
Luo et al 2022,1521902,hg19,1290573,,0.848,,,
Luo et al 2022,1716563,hg19,1455645,,0.848,,,
Luo et al 2022,1228638,hg19,1041885,,0.848,,,
Luo et al 2022,705247,hg19,598049,,0.848,,,
Luo et al 2022,1628681,hg19,1381121,,0.848,,,
Luo et al 2022,1691441,hg19,1434342,,0.848,,,
Luo et al 2022,1431354,hg19,1213788,,0.848,,,
Luo et al 2022,1398963,hg19,1186321,,0.848,,,
Luo et al 2022,1420367,hg19,1204471,,0.848,,,
Luo et al 2022,1092433,hg19,926383,,0.848,,,
Luo et al 2022,1218377,hg19,1033184,,0.848,,,
Luo et al 2022,1095727,hg19,929176,,0.848,,,
Luo et al 2022,1590499,hg19,1348743,,0.848,,,
Luo et al 2022,2424381,hg19,2055875,,0.848,,,
Luo et al 2022,1711126,hg19,1451035,,0.848,,,
Luo et al 2022,1573843,hg19,1334619,,0.848,,,
Luo et al 2022,1843328,hg19,1563142,,0.848,,,
Luo et al 2022,1532416,hg19,1297956,,0.847,,,
Luo et al 2022,1281786,hg19,1085673,,0.847,,,
Luo et al 2022,1194701,hg19,1011912,,0.847,,,
Luo et al 2022,1859837,hg19,1575282,,0.847,,,
Luo et al 2022,1342730,hg19,1137292,,0.847,,,
Luo et al 2022,481305,hg19,407665,,0.847,,,
Luo et al 2022,1732366,hg19,1467314,,0.847,,,
Luo et al 2022,1360890,hg19,1152674,,0.847,,,
Luo et al 2022,1009589,hg19,855122,,0.847,,,
Luo et al 2022,1153630,hg19,977125,,0.847,,,
Luo et al 2022,232309,hg19,196766,,0.847,,,
Luo et al 2022,1043023,hg19,883440,,0.847,,,
Luo et al 2022,2055211,hg19,1740764,,0.847,,,
Luo et al 2022,1239061,hg19,1049485,,0.847,,,
Luo et al 2022,811247,hg19,687126,,0.847,,,
Luo et al 2022,1081019,hg19,915623,,0.847,,,
Luo et al 2022,1098254,hg19,930221,,0.847,,,
Luo et al 2022,1221440,hg19,1034560,,0.847,,,
Luo et al 2022,975607,hg19,826339,,0.847,,,
Luo et al 2022,666976,hg19,564929,,0.847,,,
Luo et al 2022,1522573,hg19,1289619,,0.847,,,
Luo et al 2022,1043236,hg19,883621,,0.847,,,
Luo et al 2022,1566956,hg19,1327212,,0.847,,,
Luo et al 2022,782010,hg19,662362,,0.847,,,
Luo et al 2022,1086073,hg19,919904,,0.847,,,
Luo et al 2022,1132999,hg19,959650,,0.847,,,
Luo et al 2022,1563816,hg19,1324552,,0.847,,,
Luo et al 2022,1873326,hg19,1586707,,0.847,,,
Luo et al 2022,1857659,hg19,1573437,,0.847,,,
Luo et al 2022,2169868,hg19,1837878,,0.847,,,
Luo et al 2022,1466155,hg19,1241833,,0.847,,,
Luo et al 2022,1990573,hg19,1686015,,0.847,,,
Luo et al 2022,498964,hg19,422623,,0.847,,,
Luo et al 2022,1617750,hg19,1370234,,0.847,,,
Luo et al 2022,1495303,hg19,1266522,,0.847,,,
Luo et al 2022,1048890,hg19,888410,,0.847,,,
Luo et al 2022,1977293,hg19,1674767,,0.847,,,
Luo et al 2022,1934517,hg19,1638536,,0.847,,,
Luo et al 2022,1685990,hg19,1428034,,0.847,,,
Luo et al 2022,1735873,hg19,1470284,,0.847,,,
Luo et al 2022,1192943,hg19,1010423,,0.847,,,
Luo et al 2022,1409697,hg19,1194013,,0.847,,,
Luo et al 2022,1024965,hg19,868145,,0.847,,,
Luo et al 2022,1366094,hg19,1157082,,0.847,,,
Luo et al 2022,1389932,hg19,1177272,,0.847,,,
Luo et al 2022,1745161,hg19,1478151,,0.847,,,
Luo et al 2022,1993218,hg19,1688256,,0.847,,,
Luo et al 2022,1623229,hg19,1374875,,0.847,,,
Luo et al 2022,1891877,hg19,1602420,,0.847,,,
Luo et al 2022,1304856,hg19,1105213,,0.847,,,
Luo et al 2022,1509249,hg19,1278334,,0.847,,,
Luo et al 2022,1461946,hg19,1238268,,0.847,,,
Luo et al 2022,255815,hg19,216675,,0.847,,,
Luo et al 2022,1403633,hg19,1188877,,0.847,,,
Luo et al 2022,2059998,hg19,1744818,,0.847,,,
Luo et al 2022,1347382,hg19,1139885,,0.846,,,
Luo et al 2022,1329568,hg19,1124815,,0.846,,,
Luo et al 2022,1397844,hg19,1182576,,0.846,,,
Luo et al 2022,1391380,hg19,1177107,,0.846,,,
Luo et al 2022,1382863,hg19,1169902,,0.846,,,
Luo et al 2022,500191,hg19,423162,,0.846,,,
Luo et al 2022,955040,hg19,807964,,0.846,,,
Luo et al 2022,1340287,hg19,1133883,,0.846,,,
Luo et al 2022,463806,hg19,392380,,0.846,,,
Luo et al 2022,1058890,hg19,895821,,0.846,,,
Luo et al 2022,931878,hg19,788369,,0.846,,,
Luo et al 2022,1265316,hg19,1070457,,0.846,,,
Luo et al 2022,939446,hg19,794771,,0.846,,,
Luo et al 2022,1028191,hg19,869850,,0.846,,,
Luo et al 2022,1609672,hg19,1361783,,0.846,,,
Luo et al 2022,1193064,hg19,1009332,,0.846,,,
Luo et al 2022,1361388,hg19,1151734,,0.846,,,
Luo et al 2022,1493443,hg19,1263453,,0.846,,,
Luo et al 2022,1484220,hg19,1255650,,0.846,,,
Luo et al 2022,1087189,hg19,919762,,0.846,,,
Luo et al 2022,898543,hg19,760167,,0.846,,,
Luo et al 2022,1680718,hg19,1421887,,0.846,,,
Luo et al 2022,1772201,hg19,1499282,,0.846,,,
Luo et al 2022,1047602,hg19,886271,,0.846,,,
Luo et al 2022,1213451,hg19,1026580,,0.846,,,
Luo et al 2022,1826167,hg19,1544937,,0.846,,,
Luo et al 2022,1501698,hg19,1270437,,0.846,,,
Luo et al 2022,1860590,hg19,1574059,,0.846,,,
Luo et al 2022,1368449,hg19,1157708,,0.846,,,
Luo et al 2022,1000144,hg19,846122,,0.846,,,
Luo et al 2022,1777104,hg19,1503430,,0.846,,,
Luo et al 2022,1902103,hg19,1609179,,0.846,,,
Luo et al 2022,1997778,hg19,1690120,,0.846,,,
Luo et al 2022,1546648,hg19,1308464,,0.846,,,
Luo et al 2022,1230435,hg19,1040948,,0.846,,,
Luo et al 2022,397243,hg19,336068,,0.846,,,
Luo et al 2022,1476692,hg19,1249281,,0.846,,,
Luo et al 2022,1234009,hg19,1043972,,0.846,,,
Luo et al 2022,1329911,hg19,1125105,,0.846,,,
Luo et al 2022,2090500,hg19,1768563,,0.846,,,
Luo et al 2022,2015969,hg19,1705510,,0.846,,,
Luo et al 2022,1974165,hg19,1670144,,0.846,,,
Luo et al 2022,2317632,hg19,1960717,,0.846,,,
Luo et al 2022,1569747,hg19,1328006,,0.846,,,
Luo et al 2022,1121636,hg19,947782,,0.845,,,
Luo et al 2022,1346275,hg19,1137602,,0.845,,,
Luo et al 2022,1490860,hg19,1259777,,0.845,,,
Luo et al 2022,1074096,hg19,907611,,0.845,,,
Luo et al 2022,1094743,hg19,925058,,0.845,,,
Luo et al 2022,1226826,hg19,1036668,,0.845,,,
Luo et al 2022,1197235,hg19,1011664,,0.845,,,
Luo et al 2022,296282,hg19,250358,,0.845,,,
Luo et al 2022,1508103,hg19,1274347,,0.845,,,
Luo et al 2022,1156320,hg19,977090,,0.845,,,
Luo et al 2022,1140306,hg19,963559,,0.845,,,
Luo et al 2022,1544760,hg19,1305322,,0.845,,,
Luo et al 2022,1540895,hg19,1302056,,0.845,,,
Luo et al 2022,1306723,hg19,1104181,,0.845,,,
Luo et al 2022,1975071,hg19,1668935,,0.845,,,
Luo et al 2022,946266,hg19,799595,,0.845,,,
Luo et al 2022,1946123,hg19,1644474,,0.845,,,
Luo et al 2022,2015304,hg19,1702932,,0.845,,,
Luo et al 2022,2016204,hg19,1703692,,0.845,,,
Luo et al 2022,1869270,hg19,1579533,,0.845,,,
Luo et al 2022,1460928,hg19,1234484,,0.845,,,
Luo et al 2022,1506792,hg19,1273239,,0.845,,,
Luo et al 2022,1767203,hg19,1493287,,0.845,,,
Luo et al 2022,1422475,hg19,1201991,,0.845,,,
Luo et al 2022,1225789,hg19,1035792,,0.845,,,
Luo et al 2022,1532286,hg19,1294782,,0.845,,,
